Current Role,Gender,Top Skills,Current Salary,Experience,Next Role,Next Role Salary
HR Specialist,Male,"Data Science, Deep Learning, TensorFlow",₹12 LPA,3-5 years,Chief Cloud Officer,₹22 LPA
ML Engineer,Male,"Java, Spring Boot, Microservices",₹15 LPA,6-8 years,HR Director,₹40 LPA
AI Engineer,Female,"Python, SQL, Machine Learning",₹25 LPA,9-12 years,Investment Banker,₹12 LPA
DevOps Engineer,Female,"AWS, Docker, Kubernetes",₹7 LPA,12+ years,AI Research Scientist,₹8 LPA
Data Analyst,Non-Binary,"Recruitment, Payroll Management",₹20 LPA,9-12 years,Senior Product Manager,₹35 LPA
Financial Analyst,Female,"SEO, PPC, Content Marketing",₹7 LPA,3-5 years,ML Research Lead,₹22 LPA
Software Developer,Female,"Finance, Risk Analysis",₹10 LPA,3-5 years,Investment Banker,₹22 LPA
Software Developer,Male,"Python, SQL, Machine Learning",₹30 LPA,3-5 years,Data Scientist,₹40 LPA
Network Engineer,Male,"Data Science, Deep Learning, TensorFlow",₹30 LPA,0-2 years,Investment Banker,₹35 LPA
Financial Analyst,Male,"Data Science, Deep Learning, TensorFlow",₹15 LPA,6-8 years,Senior Software Engineer,₹40 LPA
Data Analyst,Non-Binary,"Python, SQL, Machine Learning",₹10 LPA,0-2 years,AI Research Scientist,₹35 LPA
Product Manager,Female,"Cybersecurity, Ethical Hacking, Forensics",₹10 LPA,12+ years,Site Reliability Engineer,₹18 LPA
Marketing Executive,Female,"SEO, PPC, Content Marketing",₹30 LPA,12+ years,Senior Software Engineer,₹40 LPA
Cybersecurity Engineer,Male,"Java, Spring Boot, Microservices",₹7 LPA,9-12 years,Senior Software Engineer,₹22 LPA
Data Analyst,Male,"Java, Spring Boot, Microservices",₹30 LPA,12+ years,Chief Cloud Officer,₹8 LPA
Product Manager,Non-Binary,"Java, Spring Boot, Microservices",₹15 LPA,9-12 years,ML Research Lead,₹40 LPA
Software Developer,Female,"Python, SQL, Machine Learning",₹20 LPA,6-8 years,Chief Cloud Officer,₹22 LPA
DevOps Engineer,Female,"Finance, Risk Analysis",₹10 LPA,0-2 years,Senior Software Engineer,₹22 LPA
Cybersecurity Engineer,Male,"Python, SQL, Machine Learning",₹7 LPA,3-5 years,Chief Cloud Officer,₹35 LPA
Web Developer,Non-Binary,"SEO, PPC, Content Marketing",₹15 LPA,9-12 years,Senior Product Manager,₹35 LPA
DevOps Engineer,Male,"SEO, PPC, Content Marketing",₹10 LPA,6-8 years,Security Architect,₹40 LPA
Network Engineer,Male,"AWS, Docker, Kubernetes",₹20 LPA,12+ years,ML Research Lead,₹35 LPA
Data Analyst,Female,"SEO, PPC, Content Marketing",₹25 LPA,3-5 years,Chief Cloud Officer,₹35 LPA
ML Engineer,Non-Binary,"Cybersecurity, Ethical Hacking, Forensics",₹5 LPA,0-2 years,Senior Software Engineer,₹12 LPA
Software Developer,Male,"Finance, Risk Analysis",₹20 LPA,9-12 years,Senior Software Engineer,₹18 LPA
AI Engineer,Male,"SEO, PPC, Content Marketing",₹5 LPA,12+ years,Security Architect,₹15 LPA
Cybersecurity Engineer,Female,"Java, Spring Boot, Microservices",₹12 LPA,6-8 years,Data Scientist,₹40 LPA
AI Engineer,Male,"Java, Spring Boot, Microservices",₹10 LPA,6-8 years,Investment Banker,₹35 LPA
Data Analyst,Non-Binary,"Data Science, Deep Learning, TensorFlow",₹12 LPA,3-5 years,Senior Software Engineer,₹35 LPA
Game Developer,Male,"Data Science, Deep Learning, TensorFlow",₹25 LPA,12+ years,Digital Marketing Manager,₹8 LPA
AI Engineer,Male,"Recruitment, Payroll Management",₹5 LPA,6-8 years,Chief Cloud Officer,₹18 LPA
Cybersecurity Engineer,Non-Binary,"Data Science, Deep Learning, TensorFlow",₹25 LPA,0-2 years,AI Research Scientist,₹28 LPA
DevOps Engineer,Male,"Recruitment, Payroll Management",₹20 LPA,0-2 years,Data Scientist,₹15 LPA
Cloud Architect,Female,"SEO, PPC, Content Marketing",₹25 LPA,12+ years,HR Director,₹40 LPA
Product Manager,Female,"Finance, Risk Analysis",₹25 LPA,0-2 years,Investment Banker,₹12 LPA
Data Analyst,Non-Binary,"Data Science, Deep Learning, TensorFlow",₹25 LPA,3-5 years,HR Director,₹15 LPA
Software Developer,Female,"Java, Spring Boot, Microservices",₹10 LPA,12+ years,Digital Marketing Manager,₹28 LPA
Game Developer,Non-Binary,"Recruitment, Payroll Management",₹10 LPA,12+ years,AI Research Scientist,₹8 LPA
HR Specialist,Female,"Finance, Risk Analysis",₹5 LPA,12+ years,Data Scientist,₹22 LPA
Financial Analyst,Male,"Recruitment, Payroll Management",₹20 LPA,9-12 years,Data Scientist,₹22 LPA
Cybersecurity Engineer,Female,"Data Science, Deep Learning, TensorFlow",₹12 LPA,6-8 years,HR Director,₹12 LPA
DevOps Engineer,Male,"Java, Spring Boot, Microservices",₹5 LPA,6-8 years,Site Reliability Engineer,₹12 LPA
Software Developer,Male,"Finance, Risk Analysis",₹30 LPA,9-12 years,Site Reliability Engineer,₹28 LPA
Game Developer,Female,"Java, Spring Boot, Microservices",₹10 LPA,3-5 years,Lead Web Developer,₹18 LPA
AI Engineer,Female,"Python, SQL, Machine Learning",₹12 LPA,9-12 years,HR Director,₹18 LPA
AI Engineer,Male,"SEO, PPC, Content Marketing",₹12 LPA,9-12 years,Digital Marketing Manager,₹22 LPA
Software Developer,Non-Binary,"Data Science, Deep Learning, TensorFlow",₹15 LPA,12+ years,Senior Product Manager,₹12 LPA
Network Engineer,Non-Binary,"Java, Spring Boot, Microservices",₹30 LPA,3-5 years,HR Director,₹18 LPA
Software Developer,Female,"Java, Spring Boot, Microservices",₹20 LPA,3-5 years,Lead Web Developer,₹28 LPA
AI Engineer,Male,"Python, SQL, Machine Learning",₹5 LPA,3-5 years,Senior Product Manager,₹8 LPA
Cloud Architect,Non-Binary,"Java, Spring Boot, Microservices",₹10 LPA,12+ years,ML Research Lead,₹35 LPA
Web Developer,Female,"AWS, Docker, Kubernetes",₹20 LPA,9-12 years,Digital Marketing Manager,₹18 LPA
Financial Analyst,Non-Binary,"Finance, Risk Analysis",₹5 LPA,0-2 years,ML Research Lead,₹12 LPA
DevOps Engineer,Non-Binary,"Python, SQL, Machine Learning",₹10 LPA,3-5 years,Senior Product Manager,₹15 LPA
Web Developer,Female,"SEO, PPC, Content Marketing",₹25 LPA,12+ years,Senior Product Manager,₹18 LPA
Software Developer,Male,"SEO, PPC, Content Marketing",₹7 LPA,9-12 years,ML Research Lead,₹28 LPA
Software Developer,Female,"Java, Spring Boot, Microservices",₹5 LPA,3-5 years,HR Director,₹18 LPA
Product Manager,Male,"AWS, Docker, Kubernetes",₹15 LPA,6-8 years,Investment Banker,₹28 LPA
Network Engineer,Male,"SEO, PPC, Content Marketing",₹25 LPA,12+ years,Senior Product Manager,₹28 LPA
Software Developer,Male,"Cybersecurity, Ethical Hacking, Forensics",₹15 LPA,6-8 years,AI Research Scientist,₹35 LPA
Financial Analyst,Male,"Cybersecurity, Ethical Hacking, Forensics",₹30 LPA,6-8 years,Senior Software Engineer,₹12 LPA
ML Engineer,Non-Binary,"Data Science, Deep Learning, TensorFlow",₹30 LPA,3-5 years,Lead Web Developer,₹12 LPA
Network Engineer,Male,"SEO, PPC, Content Marketing",₹25 LPA,0-2 years,Investment Banker,₹22 LPA
AI Engineer,Male,"Cybersecurity, Ethical Hacking, Forensics",₹30 LPA,9-12 years,Senior Product Manager,₹18 LPA
Financial Analyst,Non-Binary,"Recruitment, Payroll Management",₹25 LPA,9-12 years,Senior Software Engineer,₹8 LPA
AI Engineer,Male,"Finance, Risk Analysis",₹30 LPA,9-12 years,AI Research Scientist,₹8 LPA
Game Developer,Male,"AWS, Docker, Kubernetes",₹12 LPA,3-5 years,Chief Cloud Officer,₹40 LPA
AI Engineer,Non-Binary,"Python, SQL, Machine Learning",₹5 LPA,12+ years,HR Director,₹15 LPA
Marketing Executive,Male,"Finance, Risk Analysis",₹25 LPA,3-5 years,Digital Marketing Manager,₹15 LPA
AI Engineer,Female,"Cybersecurity, Ethical Hacking, Forensics",₹5 LPA,0-2 years,Investment Banker,₹15 LPA
Data Analyst,Non-Binary,"Python, SQL, Machine Learning",₹7 LPA,6-8 years,Investment Banker,₹35 LPA
Product Manager,Female,"Finance, Risk Analysis",₹15 LPA,0-2 years,Lead Web Developer,₹15 LPA
ML Engineer,Non-Binary,"Python, SQL, Machine Learning",₹7 LPA,0-2 years,Senior Product Manager,₹22 LPA
Web Developer,Female,"Finance, Risk Analysis",₹10 LPA,3-5 years,ML Research Lead,₹40 LPA
Game Developer,Male,"SEO, PPC, Content Marketing",₹5 LPA,12+ years,ML Research Lead,₹28 LPA
Product Manager,Male,"Cybersecurity, Ethical Hacking, Forensics",₹25 LPA,0-2 years,AI Research Scientist,₹18 LPA
HR Specialist,Female,"Data Science, Deep Learning, TensorFlow",₹20 LPA,9-12 years,Investment Banker,₹12 LPA
ML Engineer,Female,"Python, SQL, Machine Learning",₹30 LPA,12+ years,Senior Product Manager,₹15 LPA
ML Engineer,Non-Binary,"Finance, Risk Analysis",₹12 LPA,0-2 years,AI Research Scientist,₹8 LPA
Network Engineer,Female,"Data Science, Deep Learning, TensorFlow",₹10 LPA,3-5 years,Senior Product Manager,₹28 LPA
Product Manager,Male,"Recruitment, Payroll Management",₹5 LPA,6-8 years,ML Research Lead,₹40 LPA
Cybersecurity Engineer,Non-Binary,"Data Science, Deep Learning, TensorFlow",₹7 LPA,6-8 years,Site Reliability Engineer,₹28 LPA
HR Specialist,Female,"SEO, PPC, Content Marketing",₹10 LPA,6-8 years,AI Research Scientist,₹35 LPA
DevOps Engineer,Non-Binary,"Java, Spring Boot, Microservices",₹30 LPA,6-8 years,Investment Banker,₹8 LPA
Marketing Executive,Male,"SEO, PPC, Content Marketing",₹15 LPA,0-2 years,ML Research Lead,₹15 LPA
Cloud Architect,Non-Binary,"Recruitment, Payroll Management",₹5 LPA,3-5 years,Site Reliability Engineer,₹12 LPA
Cybersecurity Engineer,Non-Binary,"SEO, PPC, Content Marketing",₹12 LPA,6-8 years,Digital Marketing Manager,₹8 LPA
Network Engineer,Non-Binary,"Recruitment, Payroll Management",₹5 LPA,3-5 years,Investment Banker,₹35 LPA
Data Analyst,Female,"Finance, Risk Analysis",₹30 LPA,3-5 years,ML Research Lead,₹15 LPA
Software Developer,Male,"Cybersecurity, Ethical Hacking, Forensics",₹30 LPA,12+ years,Investment Banker,₹28 LPA
Network Engineer,Male,"Finance, Risk Analysis",₹30 LPA,0-2 years,Lead Web Developer,₹12 LPA
Cloud Architect,Male,"SEO, PPC, Content Marketing",₹10 LPA,12+ years,Data Scientist,₹35 LPA
Cloud Architect,Female,"Finance, Risk Analysis",₹30 LPA,0-2 years,Investment Banker,₹18 LPA
AI Engineer,Female,"Data Science, Deep Learning, TensorFlow",₹7 LPA,0-2 years,Security Architect,₹8 LPA
Data Analyst,Non-Binary,"Finance, Risk Analysis",₹12 LPA,3-5 years,Investment Banker,₹40 LPA
Web Developer,Female,"Python, SQL, Machine Learning",₹20 LPA,9-12 years,Chief Cloud Officer,₹22 LPA
Financial Analyst,Male,"SEO, PPC, Content Marketing",₹15 LPA,6-8 years,Chief Cloud Officer,₹15 LPA
Web Developer,Non-Binary,"Python, SQL, Machine Learning",₹7 LPA,12+ years,Site Reliability Engineer,₹8 LPA
Cloud Architect,Male,"Data Science, Deep Learning, TensorFlow",₹25 LPA,9-12 years,Senior Product Manager,₹28 LPA
DevOps Engineer,Non-Binary,"Recruitment, Payroll Management",₹30 LPA,12+ years,Lead Web Developer,₹18 LPA
Cloud Architect,Non-Binary,"AWS, Docker, Kubernetes",₹7 LPA,3-5 years,Security Architect,₹12 LPA
DevOps Engineer,Female,"Recruitment, Payroll Management",₹5 LPA,12+ years,Digital Marketing Manager,₹28 LPA
Product Manager,Non-Binary,"SEO, PPC, Content Marketing",₹7 LPA,9-12 years,ML Research Lead,₹18 LPA
AI Engineer,Male,"Recruitment, Payroll Management",₹30 LPA,0-2 years,Digital Marketing Manager,₹12 LPA
HR Specialist,Non-Binary,"Java, Spring Boot, Microservices",₹7 LPA,12+ years,HR Director,₹40 LPA
Software Developer,Male,"Recruitment, Payroll Management",₹15 LPA,12+ years,Digital Marketing Manager,₹15 LPA
HR Specialist,Female,"Recruitment, Payroll Management",₹15 LPA,12+ years,Lead Web Developer,₹8 LPA
Cloud Architect,Non-Binary,"Java, Spring Boot, Microservices",₹20 LPA,3-5 years,Chief Cloud Officer,₹28 LPA
Marketing Executive,Male,"Recruitment, Payroll Management",₹7 LPA,3-5 years,Senior Software Engineer,₹40 LPA
Game Developer,Non-Binary,"AWS, Docker, Kubernetes",₹7 LPA,3-5 years,Investment Banker,₹28 LPA
Network Engineer,Male,"Java, Spring Boot, Microservices",₹15 LPA,6-8 years,Senior Product Manager,₹35 LPA
Product Manager,Male,"SEO, PPC, Content Marketing",₹5 LPA,9-12 years,Investment Banker,₹15 LPA
Financial Analyst,Female,"Cybersecurity, Ethical Hacking, Forensics",₹25 LPA,3-5 years,Site Reliability Engineer,₹40 LPA
Web Developer,Male,"Java, Spring Boot, Microservices",₹10 LPA,12+ years,HR Director,₹15 LPA
Cybersecurity Engineer,Non-Binary,"SEO, PPC, Content Marketing",₹25 LPA,0-2 years,Senior Software Engineer,₹40 LPA
Web Developer,Male,"AWS, Docker, Kubernetes",₹15 LPA,6-8 years,Site Reliability Engineer,₹40 LPA
AI Engineer,Non-Binary,"Python, SQL, Machine Learning",₹30 LPA,12+ years,Chief Cloud Officer,₹8 LPA
Network Engineer,Non-Binary,"AWS, Docker, Kubernetes",₹10 LPA,12+ years,Chief Cloud Officer,₹40 LPA
Financial Analyst,Non-Binary,"Finance, Risk Analysis",₹12 LPA,12+ years,Senior Software Engineer,₹22 LPA
AI Engineer,Male,"Finance, Risk Analysis",₹25 LPA,12+ years,AI Research Scientist,₹40 LPA
Financial Analyst,Male,"Cybersecurity, Ethical Hacking, Forensics",₹10 LPA,9-12 years,Chief Cloud Officer,₹28 LPA
DevOps Engineer,Male,"SEO, PPC, Content Marketing",₹30 LPA,0-2 years,Investment Banker,₹40 LPA
ML Engineer,Female,"Recruitment, Payroll Management",₹30 LPA,6-8 years,Senior Software Engineer,₹40 LPA
AI Engineer,Non-Binary,"SEO, PPC, Content Marketing",₹7 LPA,9-12 years,AI Research Scientist,₹40 LPA
Data Analyst,Non-Binary,"Data Science, Deep Learning, TensorFlow",₹20 LPA,12+ years,Lead Web Developer,₹18 LPA
Game Developer,Non-Binary,"Recruitment, Payroll Management",₹30 LPA,6-8 years,ML Research Lead,₹8 LPA
Network Engineer,Non-Binary,"Data Science, Deep Learning, TensorFlow",₹25 LPA,3-5 years,Senior Product Manager,₹40 LPA
Software Developer,Male,"Finance, Risk Analysis",₹30 LPA,3-5 years,AI Research Scientist,₹8 LPA
Cloud Architect,Female,"Cybersecurity, Ethical Hacking, Forensics",₹20 LPA,0-2 years,Security Architect,₹15 LPA
Product Manager,Male,"Java, Spring Boot, Microservices",₹5 LPA,6-8 years,Data Scientist,₹22 LPA
Game Developer,Non-Binary,"SEO, PPC, Content Marketing",₹20 LPA,3-5 years,AI Research Scientist,₹22 LPA
AI Engineer,Female,"Recruitment, Payroll Management",₹15 LPA,12+ years,Investment Banker,₹18 LPA
Game Developer,Non-Binary,"Python, SQL, Machine Learning",₹10 LPA,6-8 years,Site Reliability Engineer,₹12 LPA
Product Manager,Male,"Cybersecurity, Ethical Hacking, Forensics",₹7 LPA,9-12 years,ML Research Lead,₹12 LPA
DevOps Engineer,Male,"Recruitment, Payroll Management",₹12 LPA,3-5 years,Senior Product Manager,₹40 LPA
Network Engineer,Non-Binary,"Cybersecurity, Ethical Hacking, Forensics",₹30 LPA,6-8 years,Digital Marketing Manager,₹35 LPA
Data Analyst,Male,"Cybersecurity, Ethical Hacking, Forensics",₹25 LPA,9-12 years,Senior Software Engineer,₹28 LPA
AI Engineer,Male,"Data Science, Deep Learning, TensorFlow",₹5 LPA,0-2 years,Security Architect,₹35 LPA
Financial Analyst,Male,"Recruitment, Payroll Management",₹30 LPA,9-12 years,AI Research Scientist,₹22 LPA
Game Developer,Non-Binary,"Python, SQL, Machine Learning",₹15 LPA,9-12 years,ML Research Lead,₹15 LPA
Network Engineer,Female,"Java, Spring Boot, Microservices",₹10 LPA,6-8 years,AI Research Scientist,₹40 LPA
ML Engineer,Female,"Data Science, Deep Learning, TensorFlow",₹15 LPA,12+ years,Data Scientist,₹8 LPA
Cloud Architect,Male,"SEO, PPC, Content Marketing",₹5 LPA,9-12 years,Security Architect,₹8 LPA
Product Manager,Non-Binary,"Cybersecurity, Ethical Hacking, Forensics",₹20 LPA,12+ years,AI Research Scientist,₹15 LPA
AI Engineer,Female,"Data Science, Deep Learning, TensorFlow",₹10 LPA,6-8 years,Senior Software Engineer,₹8 LPA
Data Analyst,Male,"Cybersecurity, Ethical Hacking, Forensics",₹10 LPA,6-8 years,Security Architect,₹8 LPA
Data Analyst,Female,"AWS, Docker, Kubernetes",₹10 LPA,3-5 years,Security Architect,₹22 LPA
ML Engineer,Non-Binary,"Python, SQL, Machine Learning",₹20 LPA,6-8 years,HR Director,₹40 LPA
Cloud Architect,Non-Binary,"SEO, PPC, Content Marketing",₹12 LPA,3-5 years,ML Research Lead,₹22 LPA
Software Developer,Non-Binary,"Cybersecurity, Ethical Hacking, Forensics",₹25 LPA,9-12 years,Lead Web Developer,₹18 LPA
Cloud Architect,Male,"SEO, PPC, Content Marketing",₹30 LPA,0-2 years,Digital Marketing Manager,₹35 LPA
Data Analyst,Non-Binary,"Data Science, Deep Learning, TensorFlow",₹10 LPA,3-5 years,Data Scientist,₹40 LPA
Product Manager,Non-Binary,"Finance, Risk Analysis",₹25 LPA,3-5 years,Digital Marketing Manager,₹15 LPA
Product Manager,Male,"Data Science, Deep Learning, TensorFlow",₹7 LPA,0-2 years,Data Scientist,₹28 LPA
Marketing Executive,Male,"AWS, Docker, Kubernetes",₹15 LPA,3-5 years,Digital Marketing Manager,₹22 LPA
Product Manager,Female,"AWS, Docker, Kubernetes",₹12 LPA,6-8 years,AI Research Scientist,₹35 LPA
Product Manager,Female,"Data Science, Deep Learning, TensorFlow",₹7 LPA,9-12 years,Senior Product Manager,₹28 LPA
HR Specialist,Male,"Data Science, Deep Learning, TensorFlow",₹25 LPA,6-8 years,Digital Marketing Manager,₹8 LPA
Financial Analyst,Non-Binary,"AWS, Docker, Kubernetes",₹12 LPA,6-8 years,Investment Banker,₹40 LPA
ML Engineer,Male,"Python, SQL, Machine Learning",₹30 LPA,12+ years,Lead Web Developer,₹35 LPA
Data Analyst,Male,"Recruitment, Payroll Management",₹20 LPA,0-2 years,Investment Banker,₹18 LPA
DevOps Engineer,Non-Binary,"Cybersecurity, Ethical Hacking, Forensics",₹12 LPA,12+ years,Investment Banker,₹8 LPA
Software Developer,Non-Binary,"Java, Spring Boot, Microservices",₹12 LPA,9-12 years,Senior Product Manager,₹35 LPA
Cybersecurity Engineer,Male,"AWS, Docker, Kubernetes",₹10 LPA,6-8 years,Data Scientist,₹40 LPA
ML Engineer,Male,"AWS, Docker, Kubernetes",₹25 LPA,12+ years,Senior Product Manager,₹15 LPA
Web Developer,Female,"Finance, Risk Analysis",₹5 LPA,12+ years,ML Research Lead,₹15 LPA
Software Developer,Male,"Finance, Risk Analysis",₹30 LPA,6-8 years,Senior Software Engineer,₹15 LPA
ML Engineer,Male,"Recruitment, Payroll Management",₹25 LPA,9-12 years,Chief Cloud Officer,₹18 LPA
Cloud Architect,Male,"Java, Spring Boot, Microservices",₹25 LPA,6-8 years,ML Research Lead,₹18 LPA
Software Developer,Non-Binary,"Cybersecurity, Ethical Hacking, Forensics",₹10 LPA,0-2 years,ML Research Lead,₹40 LPA
Cybersecurity Engineer,Non-Binary,"Recruitment, Payroll Management",₹7 LPA,12+ years,Security Architect,₹28 LPA
Cloud Architect,Male,"Data Science, Deep Learning, TensorFlow",₹15 LPA,6-8 years,Senior Software Engineer,₹15 LPA
Network Engineer,Non-Binary,"AWS, Docker, Kubernetes",₹7 LPA,12+ years,Lead Web Developer,₹28 LPA
Marketing Executive,Female,"Python, SQL, Machine Learning",₹30 LPA,3-5 years,Investment Banker,₹15 LPA
Web Developer,Male,"Finance, Risk Analysis",₹7 LPA,0-2 years,Senior Software Engineer,₹18 LPA
Product Manager,Non-Binary,"Data Science, Deep Learning, TensorFlow",₹5 LPA,6-8 years,Data Scientist,₹22 LPA
Network Engineer,Male,"Recruitment, Payroll Management",₹30 LPA,3-5 years,HR Director,₹35 LPA
HR Specialist,Non-Binary,"Cybersecurity, Ethical Hacking, Forensics",₹7 LPA,3-5 years,HR Director,₹18 LPA
ML Engineer,Female,"AWS, Docker, Kubernetes",₹7 LPA,3-5 years,AI Research Scientist,₹8 LPA
HR Specialist,Male,"Java, Spring Boot, Microservices",₹30 LPA,12+ years,ML Research Lead,₹35 LPA
Data Analyst,Female,"Data Science, Deep Learning, TensorFlow",₹30 LPA,3-5 years,Security Architect,₹12 LPA
Web Developer,Male,"Data Science, Deep Learning, TensorFlow",₹5 LPA,6-8 years,Security Architect,₹18 LPA
Network Engineer,Non-Binary,"Recruitment, Payroll Management",₹30 LPA,0-2 years,Digital Marketing Manager,₹35 LPA
AI Engineer,Non-Binary,"Data Science, Deep Learning, TensorFlow",₹7 LPA,0-2 years,Security Architect,₹15 LPA
